Time 0.01 - Sarah request 29, bought 13; priority **
Time 4.06 - Natashia request 23, bought 5; priority *
Time 4.12 - Lynsey request 38, bought 21; priority ***
Time 4.14 - Damien request 23, bought 13; priority **
Time 4.15 - Fern request 6, bought 5; priority *
Time 4.16 - Venessa request 21, bought 5; priority *
Time 4.17 - Wilber request 25, bought 13; priority **
Time 4.19 - Reanna request 28, bought 13; priority **
Time 4.2 - Kayleigh request 24, bought 21; priority ***
Time 4.21 - Adena request 52, bought 5; priority *
Time 4.22 - Marianna request 3, bought 3; priority *
Time 4.23 - Aileen request 72, bought 21; priority ***
Time 4.24 - Valda request 13, bought 5; priority *
Time 4.25 - Roger request 54, bought 13; priority **
Time 4.26 - Noe request 26, bought 13; priority **
Time 4.29 - Leslie request 13, bought 5; priority *
Time 4.3 - Nita request 9, bought 5; priority *
Time 4.31 - Lashonda request 3, bought 3; priority *
Time 4.34 - Ester request 38, bought 13; priority **
Time 4.35 - Annett request 10, bought 5; priority *
Time 4.38 - Zella request 9, bought 9; priority **
Time 4.39 - Lurlene request 1, bought 1; priority *
Time 4.41 - Leonardo request 18, bought 13; priority **
Time 4.42 - Ardelle request 33, bought 13; priority **
Time 4.43 - Isabell request 18, bought 13; priority **
Time 4.46 - Sherilyn request 18, bought 13; priority **
Time 4.47 - Mozelle request 20, bought 13; priority **
Time 4.51 - Dodie request 7, bought 5; priority *
Time 4.52 - Elvia request 24, bought 21; priority ***
Time 4.55 - Ricki request 7, bought 7; priority ***
Time 4.56 - Brittney request 8, bought 8; priority ***
Time 4.57 - Marshall request 22, bought 13; priority **
Time 4.58 - Anamaria request 14, bought 13; priority **
Time 4.59 - Lavette request 20, bought 20; priority ***
Time 5 - Aurelio request 10, bought 5; priority *
Time 5.02 - Mamie request 19, bought 5; priority *
Time 5.03 - Bell request 39, bought 21; priority ***
Time 5.05 - Brian request 115, bought 21; priority ***
Time 5.07 - Mellie request 27, bought 5; priority *
Time 5.08 - Estella request 25, bought 5; priority *
Time 5.09 - Kimber request 11, bought 11; priority **
Time 5.1 - Nakita request 23, bought 21; priority ***
Time 5.11 - Kylie request 15, bought 13; priority **
Time 5.12 - Anitra request 20, bought 20; priority ***
Time 5.13 - Gaynelle request 9, bought 5; priority *
Time 5.15 - Bao request 12, bought 12; priority ***
Time 5.16 - Sheryll request 29, bought 13; priority **
Time 5.17 - Patty request 32, bought 21; priority ***
Time 5.2 - Chauncey request 21, bought 5; priority *
Time 5.25 - Orpha request 12, bought 5; priority *
Time 5.27 - Georgina request 21, bought 5; priority *
Time 5.33 - An request 11, bought 5; priority *
Time 5.38 - Lessie request 41, bought 13; priority **
Time 5.4 - Colette request 7, bought 7; priority **
Time 5.41 - Elina request 24, bought 21; priority ***
Time 5.42 - Hugo request 3, bought 3; priority ***
Time 5.45 - Mathew request 27, bought 5; priority *
Time 5.47 - Minta request 17, bought 5; priority *
Time 5.49 - Helaine request 11, bought 11; priority **
Time 5.5 - Raisa request 6, bought 6; priority **
Time 5.52 - Edgar request 9, bought 9; priority ***
Time 5.54 - Heidy request 25, bought 13; priority **
Time 5.55 - Deshawn request 5, bought 5; priority *
Time 5.57 - Nell request 47, bought 21; priority ***
Time 5.58 - Sharlene request 22, bought 13; priority **
Time 6.02 - Ron request 14, bought 5; priority *
Time 6.03 - Terrilyn request 12, bought 12; priority ***
Time 6.04 - Waltraud request 16, bought 16; priority ***
Time 6.07 - Jennefer request 17, bought 17; priority ***
Time 6.11 - Reita request 59, bought 21; priority ***
Time 6.14 - Melonie request 58, bought 21; priority ***
Time 6.18 - Shayla request 44, bought 13; priority **
Time 6.21 - Britt request 14, bought 13; priority **
Time 6.22 - Terrilyn request 1, bought 1; priority *
Time 6.25 - Tamekia request 49, bought 13; priority **
Time 6.26 - Lorraine request 18, bought 18; priority ***
Time 6.27 - Selena request 58, bought 13; priority **
Time 6.28 - Bill request 13, bought 13; priority **
Time 6.33 - Florine request 21, bought 5; priority *
Time 6.34 - Golden request 5, bought 5; priority ***
Time 6.36 - Antwan request 21, bought 13; priority **
Time 6.38 - Callie request 14, bought 5; priority *
Time 6.4 - Dominica request 22, bought 21; priority ***
Time 6.41 - Tasha request 36, bought 21; priority ***
Time 6.47 - Royce request 13, bought 13; priority **
Time 6.48 - April request 23, bought 13; priority **
Time 6.5 - Jamel request 66, bought 21; priority ***
Time 6.51 - Page request 4, bought 4; priority ***
Time 6.52 - Simone request 25, bought 21; priority ***
Time 6.55 - Chantelle request 26, bought 21; priority ***
Time 6.59 - Zena request 5, bought 5; priority ***
Time 7.01 - Liberty request 24, bought 5; priority *
Time 7.03 - Kacey request 27, bought 13; priority **
Time 7.04 - Aliza request 28, bought 13; priority **
Time 7.05 - Vivienne request 3, bought 3; priority ***
Time 7.08 - Hobert request 32, bought 21; priority ***
Time 7.12 - Cara request 25, bought 21; priority ***
Time 7.17 - Carman request 52, bought 21; priority ***
Time 7.19 - Arline request 10, bought 10; priority **
Time 7.2 - Lory request 58, bought 21; priority ***
Time 7.23 - Jammie request 14, bought 14; priority ***
Time 7.27 - Johnette request 18, bought 13; priority **
Time 7.29 - Andre request 39, bought 21; priority ***
Time 7.3 - Portia request 6, bought 6; priority **
Time 7.31 - Sarah request 16, bought 16; priority ***
Time 7.32 - Georgann request 25, bought 13; priority **
Time 7.33 - Amal request 2, bought 2; priority ***
Time 7.34 - Sandee request 5, bought 5; priority ***
Time 7.35 - Laureen request 24, bought 21; priority ***
Time 7.36 - Norene request 23, bought 21; priority ***
Time 7.37 - Grisel request 19, bought 13; priority **
Time 7.38 - Alfonzo request 2, bought 2; priority **
Time 7.39 - Anna request 101, bought 21; priority ***
Time 7.4 - Leif request 40, bought 21; priority ***
Time 7.41 - Lamar request 4, bought 4; priority **
Time 7.42 - Joslyn request 9, bought 9; priority ***
Time 7.43 - Margeret request 2, bought 2; priority ***
Time 7.44 - Galen request 1, bought 1; priority **
Time 7.45 - Nagoogin request 54, bought 21; priority ***
Time 7.46 - Ophelia request 1, bought 1; priority ***
Time 7.47 - Wendy request 10, bought 10; priority **
Time 7.48 - Katharina request 8, bought 8; priority **
Time 7.49 - Joya request 7, bought 7; priority **
Time 7.5 - Takisha request 10, bought 10; priority ***
Time 7.51 - Latoya request 24, bought 21; priority ***
Time 7.52 - Terry request 14, bought 14; priority ***
Time 7.53 - Ami request 7, bought 7; priority ***
Time 7.54 - Thomas request 86, bought 21; priority ***
Time 7.55 - Miriam request 16, bought 13; priority **
Time 7.56 - Chanda request 8, bought 8; priority ***
Time 7.57 - Kai request 3, bought 3; priority ***
Time 7.58 - Nila request 12, bought 12; priority ***
Time 7.59 - Joelle request 21, bought 13; priority **
Time 8 - Garnett request 28, bought 21; priority ***
Time 8.01 - Cythia request 1, bought 1; priority ***
Time 8.02 - Darron request 70, bought 21; priority ***
Time 8.03 - Gretchen request 4, bought 4; priority **
Time 8.04 - Graig request 11, bought 11; priority ***
Time 8.05 - Jarod request 24, bought 13; priority **
Time 8.06 - Altagracia request 4, bought 4; priority **
Time 8.07 - Tyrone request 6, bought 6; priority **
Time 8.08 - Glenda request 3, bought 3; priority ***
Time 8.09 - Efrain request 15, bought 13; priority **
Time 8.1 - Amanda request 2, bought 2; priority **
Time 8.11 - Gayla request 25, bought 21; priority ***
Time 8.12 - Melonie request 22, bought 13; priority **
Time 8.13 - Gricelda request 25, bought 13; priority **
Time 8.14 - Suzi request 28, bought 21; priority ***
Time 8.15 - Marine request 14, bought 13; priority **
Time 8.16 - Devona request 4, bought 4; priority **
Time 8.17 - Codi request 7, bought 7; priority ***
Time 8.18 - Nyla request 38, bought 21; priority ***
Time 8.19 - Phyliss request 5, bought 5; priority ***
Time 8.2 - Mallie request 5, bought 5; priority ***
Time 8.21 - Christen request 17, bought 17; priority ***
Time 8.22 - Margarita request 28, bought 21; priority ***
Time 8.23 - Thomas request 79, bought 21; priority ***
Time 8.24 - Fawn request 3, bought 3; priority **
Time 8.25 - Berry request 20, bought 20; priority ***
Time 8.26 - Svetlana request 30, bought 21; priority ***
Time 8.27 - Jone request 18, bought 18; priority ***
Time 8.28 - Lesa request 3, bought 3; priority ***
Time 8.29 - Christine request 88, bought 21; priority ***
Time 8.3 - Daniel request 79, bought 21; priority ***
Time 8.31 - Veda request 17, bought 17; priority ***
Time 8.32 - Minna request 9, bought 9; priority ***
Time 8.33 - Sherice request 6, bought 6; priority ***
Time 8.34 - Rosaria request 1, bought 1; priority ***
Time 8.35 - Joaquin request 20, bought 13; priority **
Time 8.36 - Altagracia request 13, bought 13; priority ***
Time 8.37 - Sterling request 5, bought 5; priority ***
Time 8.38 - Jung request 79, bought 21; priority ***
Time 8.39 - Devorah request 10, bought 10; priority ***
Time 8.4 - Hung request 10, bought 10; priority ***
Time 8.41 - Natashia request 18, bought 13; priority **
Time 8.42 - Lynsey request 17, bought 17; priority ***
Time 8.43 - Damien request 10, bought 10; priority ***
Time 8.44 - Fern request 1, bought 1; priority **
Time 8.45 - Venessa request 16, bought 13; priority **
Time 8.46 - Wilber request 12, bought 12; priority ***
Time 8.47 - Reanna request 15, bought 15; priority ***
Time 8.48 - Kayleigh request 3, bought 3; priority ***
Time 8.49 - Adena request 47, bought 13; priority **
Time 8.5 - Aileen request 51, bought 21; priority ***
Time 8.51 - Valda request 8, bought 8; priority **
Time 8.52 - Roger request 41, bought 21; priority ***
Time 8.53 - Noe request 13, bought 13; priority ***
Time 8.54 - Leslie request 8, bought 8; priority **
Time 8.55 - Nita request 4, bought 4; priority **
Time 8.56 - Ester request 25, bought 21; priority ***
Time 8.57 - Annett request 5, bought 5; priority **
Time 8.58 - Leonardo request 5, bought 5; priority ***
Time 8.59 - Ardelle request 20, bought 20; priority ***
Time 9 - Isabell request 5, bought 5; priority ***
Time 9.01 - Sherilyn request 5, bought 5; priority ***
Time 9.02 - Mozelle request 7, bought 7; priority ***
Time 9.03 - Dodie request 2, bought 2; priority **
Time 9.04 - Elvia request 3, bought 3; priority ***
Time 9.05 - Marshall request 9, bought 9; priority ***
Time 9.06 - Anamaria request 1, bought 1; priority ***
Time 9.07 - Aurelio request 5, bought 5; priority **
Time 9.08 - Mamie request 14, bought 13; priority **
Time 9.09 - Bell request 18, bought 18; priority ***
Time 9.1 - Brian request 94, bought 21; priority ***
Time 9.11 - Mellie request 22, bought 13; priority **
Time 9.12 - Estella request 20, bought 13; priority **
Time 9.13 - Nakita request 2, bought 2; priority ***
Time 9.14 - Kylie request 2, bought 2; priority ***
Time 9.15 - Gaynelle request 4, bought 4; priority **
Time 9.16 - Sheryll request 16, bought 16; priority ***
Time 9.17 - Patty request 11, bought 11; priority ***
Time 9.18 - Chauncey request 16, bought 13; priority **
Time 9.19 - Orpha request 7, bought 7; priority **
Time 9.2 - Georgina request 16, bought 13; priority **
Time 9.21 - An request 6, bought 6; priority **
Time 9.22 - Lessie request 28, bought 21; priority ***
Time 9.23 - Elina request 3, bought 3; priority ***
Time 9.24 - Mathew request 22, bought 13; priority **
Time 9.25 - Minta request 12, bought 12; priority **
Time 9.26 - Heidy request 12, bought 12; priority ***
Time 9.27 - Nell request 26, bought 21; priority ***
Time 9.28 - Sharlene request 9, bought 9; priority ***
Time 9.29 - Ron request 9, bought 9; priority **
Time 9.3 - Reita request 38, bought 21; priority ***
Time 9.31 - Melonie request 37, bought 21; priority ***
Time 9.32 - Shayla request 31, bought 21; priority ***
Time 9.33 - Britt request 1, bought 1; priority ***
Time 9.34 - Tamekia request 36, bought 21; priority ***
Time 9.35 - Selena request 45, bought 21; priority ***
Time 9.36 - Florine request 16, bought 13; priority **
Time 9.37 - Antwan request 8, bought 8; priority ***
Time 9.38 - Callie request 9, bought 9; priority **
Time 9.39 - Dominica request 1, bought 1; priority ***
Time 9.4 - Tasha request 15, bought 15; priority ***
Time 9.41 - April request 10, bought 10; priority ***
Time 9.42 - Jamel request 45, bought 21; priority ***
Time 9.43 - Simone request 4, bought 4; priority ***
Time 9.44 - Chantelle request 5, bought 5; priority ***
Time 9.45 - Liberty request 19, bought 13; priority **
Time 9.46 - Kacey request 14, bought 14; priority ***
Time 9.47 - Aliza request 15, bought 15; priority ***
Time 9.48 - Hobert request 11, bought 11; priority ***
Time 9.49 - Cara request 4, bought 4; priority ***
Time 9.5 - Carman request 31, bought 21; priority ***
Time 9.51 - Lory request 37, bought 21; priority ***
Time 9.52 - Johnette request 5, bought 5; priority ***
Time 9.53 - Andre request 18, bought 18; priority ***
Time 9.54 - Georgann request 12, bought 12; priority ***
Time 9.55 - Laureen request 3, bought 3; priority ***
Time 9.56 - Norene request 2, bought 2; priority ***
Time 9.57 - Grisel request 6, bought 6; priority ***
Time 9.58 - Anna request 80, bought 21; priority ***
Time 9.59 - Leif request 19, bought 19; priority ***
Time 10 - Nagoogin request 33, bought 21; priority ***
Time 10.01 - Latoya request 3, bought 3; priority ***
Time 10.02 - Thomas request 65, bought 21; priority ***
Time 10.03 - Miriam request 3, bought 3; priority ***
Time 10.04 - Joelle request 8, bought 8; priority ***
Time 10.05 - Garnett request 7, bought 7; priority ***
Time 10.06 - Darron request 49, bought 21; priority ***
Time 10.07 - Jarod request 11, bought 11; priority ***
Time 10.08 - Efrain request 2, bought 2; priority ***
Time 10.09 - Gayla request 4, bought 4; priority ***
Time 10.1 - Melonie request 9, bought 9; priority ***
Time 10.11 - Gricelda request 12, bought 12; priority ***
Time 10.12 - Suzi request 7, bought 7; priority ***
Time 10.13 - Marine request 1, bought 1; priority ***
Time 10.14 - Nyla request 17, bought 17; priority ***
Time 10.15 - Margarita request 7, bought 7; priority ***
Time 10.16 - Thomas request 58, bought 21; priority ***
Time 10.17 - Svetlana request 9, bought 9; priority ***
Time 10.18 - Christine request 67, bought 21; priority ***
Time 10.19 - Daniel request 58, bought 21; priority ***
Time 10.2 - Joaquin request 7, bought 7; priority ***
Time 10.21 - Jung request 58, bought 21; priority ***
Time 10.22 - Natashia request 5, bought 5; priority ***
Time 10.23 - Venessa request 3, bought 3; priority ***
Time 10.24 - Adena request 34, bought 21; priority ***
Time 10.25 - Aileen request 30, bought 21; priority ***
Time 10.26 - Roger request 20, bought 20; priority ***
Time 10.27 - Ester request 4, bought 4; priority ***
Time 10.28 - Mamie request 1, bought 1; priority ***
Time 10.29 - Brian request 73, bought 21; priority ***
Time 10.3 - Mellie request 9, bought 9; priority ***
Time 10.31 - Estella request 7, bought 7; priority ***
Time 10.32 - Chauncey request 3, bought 3; priority ***
Time 10.33 - Georgina request 3, bought 3; priority ***
Time 10.34 - Lessie request 7, bought 7; priority ***
Time 10.35 - Mathew request 9, bought 9; priority ***
Time 10.36 - Nell request 5, bought 5; priority ***
Time 10.37 - Reita request 17, bought 17; priority ***
Time 10.38 - Melonie request 16, bought 16; priority ***
Time 10.39 - Shayla request 10, bought 10; priority ***
Time 10.4 - Tamekia request 15, bought 15; priority ***
Time 10.41 - Selena request 24, bought 21; priority ***
Time 10.42 - Florine request 3, bought 3; priority ***
Time 10.43 - Jamel request 24, bought 21; priority ***
Time 10.44 - Liberty request 6, bought 6; priority ***
Time 10.45 - Carman request 10, bought 10; priority ***
Time 10.46 - Lory request 16, bought 16; priority ***
Time 10.47 - Anna request 59, bought 21; priority ***
Time 10.48 - Nagoogin request 12, bought 12; priority ***
Time 10.49 - Thomas request 44, bought 21; priority ***
Time 10.5 - Darron request 28, bought 21; priority ***
Time 10.51 - Thomas request 37, bought 21; priority ***
Time 10.52 - Christine request 46, bought 21; priority ***
Time 10.53 - Daniel request 37, bought 21; priority ***
Time 10.54 - Jung request 37, bought 21; priority ***
Time 10.55 - Adena request 13, bought 13; priority ***
Time 10.56 - Aileen request 9, bought 9; priority ***
Time 10.57 - Brian request 52, bought 21; priority ***
Time 10.58 - Selena request 3, bought 3; priority ***
Time 10.59 - Jamel request 3, bought 3; priority ***
Time 11 - Anna request 38, bought 21; priority ***
Time 11.01 - Thomas request 23, bought 21; priority ***
Time 11.02 - Darron request 7, bought 7; priority ***
Time 11.03 - Thomas request 16, bought 16; priority ***
Time 11.04 - Christine request 25, bought 21; priority ***
Time 11.05 - Daniel request 16, bought 16; priority ***
Time 11.06 - Jung request 16, bought 16; priority ***
Time 11.07 - Brian request 31, bought 21; priority ***
Time 11.08 - Anna request 17, bought 17; priority ***
Time 11.09 - Thomas request 2, bought 2; priority ***
Time 11.1 - Christine request 4, bought 4; priority ***
Time 11.11 - Brian request 10, bought 10; priority ***
